,id,content,location_traffic_convenience,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation,others_overall_experience,others_willing_to_consume_again
11,11,"""今天路过优壹朵，然后进去看了看，点内环境不错，有坐着吃东西点地方，有点小资的味道，蛋糕很多刚刚出炉，原来很爱他家的泡芙，很好吃，现在味道差了许多，他家的生日蛋糕还是比较好吃的，现在推出了很多新的糕点，上次中秋的月饼也挺好吃的，这家店交通便利，在龙山小学附近，101、102、18、25、16等公交都可以达到，生意比较好，现在已经开了好几家店了，下午晚上是一个高峰，很多人，总体来说是一家不错蛋糕店，希望可以保持下去。""",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,0,-2,-2,1,1
12,12,"""晚上6点40左右到的，人大概7成满。选了一个有沙发的位置坐下。整体环境很好，不吵闹，有低缓的音乐声。推荐三文鱼，真的很不错，鱼肉是厚切的，上面的脂肪层很鲜明，入口就很满足，而且很新鲜，能吃到甜甜的味道，我能说我们5个人吃了10多份三文鱼嘛，太爱了。羊排很嫩很嫩，要等大概10多分钟，切开里面能清楚地看见生肉，但是一点膻味都没有，只有嫩嫩的口感。牛排相较之下就差点，有点老了。猪排正常。秋刀鱼烤的味道不够，很淡，需要自己再加调料。热菜整体口感、卖相都不错。牛肉面好吃，汤清、面白、葱绿，牛肉不少，很地道的一碗牛肉面。火锅还行，就是火锅菜不是很多，火锅的汤底应该是骨头汤，很鲜。现在去吃还送大闸蟹，立马感觉来吃自助餐太划算了。饮料比较喜欢黑米核桃汁和豆浆，热热的，糖度可以自己放。蛋糕真真做的很精致，每个都很好看。芒果慕斯味道很浓郁，赞一个。服务也不错，盘子收的很勤快。我们五个人用了团购券用了买一送一最后划下来一个人才125，性价比还是很高的。""",-2,-2,-2,-2,1,-2,0,1,1,1,-2,1,-2,-2,-1,0,1,1,1,-2
13,13,"""人气很旺的一家餐厅，正在众圆溜冰场的楼上，装修中西合璧，古色古香的窗扇，搭配着西餐厅的沙发。菜单很朴实，价格也很平实。很多小菜都在20元以下。海鲜粉丝分量还不错，口味咸鲜、有些虾仁点缀其中；鱼香肉丝和平常做法大不一样，感觉更像京酱肉丝，配料全是大葱，肉丁切得很小，口味偏甜，感觉一般。手撕包菜完全是水煮包菜，很不好吃。服务态度真心不错，主动提醒代金券和微信的优惠可以并用。随便吃一下还是很划算的，不建议请客。""",-2,-2,-2,-2,1,-2,-2,1,1,1,1,1,-2,-2,1,0,0,-2,0,-2
14,14,"""哇哇哇！已经吃了两次他家的胡椒猪肚鸡啦！第一次来探店是因为天气太冷，想吃点暖和的食物。煲宫在大洋商场街对面的福中五楼，有专门的电梯上去，去的比较早，不需要排队，晚一点门口就有排队的了。店里面很宽敞，桌子也很大，感觉不错。两次来吃点了中煲胡椒猪肚鸡，豆腐皮，魔芋结，茼蒿。
【服务】挺周到的，会帮忙盛汤，不断的加汤，餐盘换的也比较勤快，第二次来吃的时候，点错了豆腐皮，和服务员反映之后很爽快的就帮忙换了。
自助调料还算蛮全的，秘制酱油不错！还有水果可以自取，点完餐后服务员也会先端来一份。
【胡椒猪肚鸡】鸡肉猪肚都很嫩，鸡肉比较小，肚子和鸡肉需要蘸酱吃，汤的味道不错，够浓稠，胡椒粉的味道也挺重。
【豆腐皮】很新鲜，在汤汁里涮过之后超级棒，汤汁的味道都有被吸收。
【茼蒿】很新鲜，也挺整齐，很喜欢，吃火锅的时候都会点。
总体很棒！罗汉果茶也很好喝！还会再去光顾！""",-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,1,-2,-2,1,1
15,15,"""表示已经长草很久很久了，今天特意过来的比较早～10：10分左右到达宴遇门口，我以为已经够早了，想不到前面也有20桌，好在是第一批进入的～                                                         说说环境吧，感觉环境很不错，噱头哈灵～服务也很周到的
前菜是很神奇的饮料（送的）～就是噱头很足，也说不出是啥味道，还好吧这味道…。           猪猪流沙包（18元三个哟）：个人必点，早就慕名这道菜了，表示很好吃！！又被惊艳到，而且造型十分可爱！！！吃的时候请注意形象哟～[偷笑][偷笑]
辣子鸡配芒果蛋黄49元：噱头十足，辣子鸡我很喜欢吃！芒果蛋黄也是醉了，十分推荐。    敲糖口水鸡33元：个人认为味道一般吧              香煎孜然羊排配奶油土豆球69元：
沙茶面23元：
蜜汁黑叉烧59元：""",-2,-2,-2,-2,1,-2,-2,0,-2,-2,1,1,1,1,1,1,1,1,1,-2
16,16,"""第一次被抽中试吃活动～太太太太荣幸了！！非常感谢大众点评！
    10人大餐，真的没令人失望！鼓掌撒花～第一盘菜就是10人刺身拼盘，虾都有手掌这么大，可惜没有拍照。三文鱼北极贝都很新鲜，入口感觉就是不一样。三文鱼头的咖喱味很浓，拌饭应该很好吃！海鲜炒饭跟招牌炒饭就很好吃，价格也不贵，值得一吃。辣椒膏炒青口就稍微逊色了一点，青口肉感很好，不过用辣椒炒就掩盖了它的鲜味，建议换一种做法能突出它的鲜味～
    这里的环境很好，服务态度也不错，时不时会过来给我们加水。好评～总体来说，很值得来试试的口味环境服务五颗星～赞一个""",-2,-2,-2,-2,1,-2,-2,0,-2,1,1,1,1,1,-2,1,-2,1,1,-2
17,17,"""环境给4分，是因为这个环境外团结镇确实已经算是很不错的了，而且是串串店，不是什么咖啡厅，奶茶店之类的

服务，具体当时的情况记得不太清了，所以就不多说了

锅底，要的鸳鸯的，红锅到不是太辣，白锅颜色挺白的，是用来煮素菜的，整体味道还不错

油碟是一次性易拉罐的，感觉很干净，而且易拉罐的瓶子很可爱，很q，话说就是因为吃了串串style，后来回家自己做火锅的时候还专门在淘宝上买了同品牌的香油料

菜品参差不齐，有较新鲜的，当然也就会有不太新鲜的，我比较钟情于素菜，但是素菜每一家火锅店味道都差不多，也不多说了

白雪绯红，好像是这个名字，是西米露，不过还挺好吃的

团购的价钱很优惠了，旁边那些冷锅串串我们有时候随便吃点都比团购贵了，会再去的""",-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,-2,1,1,-2,1,1
18,18,"""一直觉得富邦店比高德店出品好，确实富邦店每逢饭店，工作日定节假日都系要等位嗝，近排换左新菜牌，试左其中一个石板豆腐，石板滚住汁上，热气腾腾，滋滋声，好引食欲。芥末捞起bb肚尖，非常爽！脆！翠！关键系脆！爽就好多地方都做到，但会爽得黎韧咯，依度系爽夹脆。冬阴功浸斑柳，其实斑柳麻麻地，都系冰冻品，好彩个冬阴功汤好好味，够香够辣，弥补晒斑柳既不足。红豆冰够晒大杯，依度d冻饮都相当大杯，就系红豆唔够绵咯，希望只系偶然事件。""",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2
19,19,"""位置：宝岗大道和江南西交接的广百新一城，距离江南西地铁站近一点，五楼，迷鲤寿司的隔壁

服务：去到店内客人挺多的，两个团购券，全是一分钱抢的，但是老板也没有怠慢，验证也很快

味道：点了一份巧克力木槺布丁，一份芒果粉肠~和图片显示是一模一样的，超级好看的卖相，没想到味道也很好~木糠布丁层次分明，巧克力香而不腻，配的水果也好吃；芒果肠粉里面是原条芒果，足够甜，一个芒果不知道能否做出一份，真够诚意十足的出品~""",1,1,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,1,-2,1,-2
20,20,"""微信圈里传的带处女座的人去吃能打79折，加上工作日中午有128和148的特惠自助套餐，周五中午和朋友相约了来吃，地段不错，南京东路近和平饭店。环境不错，很西式的布置，点好128和148的各一套。主菜点了披萨和银鳕鱼各一份。自助的配菜还是蛮丰富的，有三文鱼，虾仁，鱿鱼，各式肉片，蔬菜色拉，各式甜点蛋糕，水果等。除了披萨有点硬不大好吃，其他都很满意。最后买单打了79折实际支付218，适合家庭和朋友同事聚餐。""",-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,1,1,1,-2,0,-2,-2,1,1
21,21,"""首先在此感谢大众点评的霸王餐抽奖活动，很荣幸抽到久如香虾兵蟹将套餐免费试吃活动，其次感谢活动QQ群管理员小北，和负责解决我自己操作失误带来麻烦的安总。好了感谢完，咱们来说说这次的试吃活动，一个字：爽！我们两个大人三个孩子，下午六点来到大卫城十楼久如香店，店内干净整洁，服务员热情周到，经过验证中奖信息后我们就坐，点了其他的特色菜品，因为有很多孩子所以口味以清淡为主，清蒸小龙虾，炒花甲，口蘑，馍片，虾兵蟹将套餐很快就上来了，麻辣鲜香后味带点甜甜的味道，虾肉很入味，钳子里面的肉千万别丢掉啊，也是很好吃的，作为一个吃货不要嫌麻烦，接着清蒸小龙虾隆重登场，拿起来跟手掌大小的龙虾非常给力，打开虾壳肉质饱满，色泽鲜亮，打开虾头，虾鳃洁白没污物，虾黄满满，蘸料入口满口香，口感不错很弹，嚼到最后意犹未尽，花甲干净肥嫩一点也不碜，大闸蟹黄满肉肥，味道好吃，再过一个月到了螃蟹旺季，应该会更好。下面我还会上图，看着都眼馋啊，小份清蒸，中份麻辣虾兵蟹将吃完不过瘾，又点了中份清蒸一碗，大人孩子吃的都很开心，满满的店里人越来越多，八点吃完的时候还是满员，可见味道还是受到大家好评的，结账的时候还能用闪惠省了二十五，五个人人均一百，经济实惠，下次还会再来的！！！""",-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,1,-2,1,1,-2,1,1
22,22,"""三角肥牛简直是惊喜中的惊喜, 服务员小哥推荐的, 本来还怕太肥, 结果正合适, 而且非常嫩. 招牌的羊排也是. 三文鱼排属于比较平均, 吃的出来鱼的食材很不错, 就是味道偏淡, 我自己感觉还不错, 父母尝了下觉得有点淡. 服务也很好, 那天我妈过生日, 告诉服务员小哥后, 店家送了一人一杯的波特酒. 吃葡萄牙餐厅强烈建议点被波特酒哈(Porto), 是葡萄牙特色的餐酒, 比较甜, 妹子估计会很喜欢.""",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2
23,23,"""点评抽中餐券，赶在最后一天过来，打包了小龙虾。
位置：交通便利，就在万柳花莲南侧，海淀文化宫这里。地铁巴沟站万柳出口，这里有个公交总站，离这里走路约五分钟。开车过来可以提供小票半价停车不限时。
环境：装修风格很休闲，有点餐吧酒吧的感觉。收银台像公司前台一样，摆了从大到小的招财猫，沙发坐很舒适。
服务：必须要说服务员服务真的很好，我只是拿券来打包两盒小龙虾，但是对我很是热情，等着的时候还给送来两杯热水。必须要赞！
味道：小龙虾点的麻辣味道，138元21只。打包袋里还给放好了手套纸巾。味道属于麻辣鲜香，非常适合我这种爱辣又不能太辣的人，味道百分！出门的时候服务员还把小票拿来，提示停车半价！""",1,-2,1,-2,1,1,-2,0,-2,1,1,-2,-2,-2,0,1,-2,-2,1,-2
24,24,"""诺克餐吧^_^
前端时间人气爆棚的餐厅，大家都纷纷晒出诺克的，还有朋友竟然说好吃到哭！一下子把我的期望提高了不少。可是没想到我兴致而去，扫兴而归。
餐厅位置就在车公庙地铁站附近的十亩地。
刚到餐厅，还是有些震撼，西部牛仔的风格，装修还人员服饰，包括店内各个屏幕播放的西部牛仔，真有那么点意思。
就坐后服务员给了我菜单就走了，等了半天也没人过来给我点菜，而且那个时候店内人很少，很多服务员还在闲坐着，服务意识很差。我只好叫服务员过来点餐了。点完餐后，等了十来分钟，也不给我上餐具，也不给倒水，真是醉了，我渴了半天，受不了就又叫服务员给我上餐具喝茶水。
用餐过程也不愉快，中途服务员要把我的餐具篮给收走，我无语了。餐巾那些都在里面，我说了几句才还回来。
再说说菜品，点了澳洲雪花牛扒，服务员给我点的七分熟的，虽然带点血，味道还能接受。还有一个提拉米苏，做的很差劲，我就没吃过这么硬的提拉米苏。
总之，这次的就餐体验非常差！""",1,-2,-2,-2,-1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-1,-2
